@relation relationARFF

@attribute QueryID string
@attribute WorkflowClass {urn:eu.larkc.plugin.SOStoVBtransformerThreadsCPULoad_urn:eu.larkc.plugin.identifier.gwas.GWASIdentifier_,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,urn:eu.larkc.plugin.SOStoVBtransformerCPULoad_urn:eu.larkc.plugin.identifier.gwas.GWASIdentifier_,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformerCPULoad_,urn:eu.larkc.plugin.SOStoVBtransformer_urn:eu.larkc.plugin.identifier.gwas.GWASIdentifier_,urn:eu.larkc.plugin.SOStoVBtransformer_}
@attribute QuerySizeInCharacters numeric
@attribute QueryNamespaceNb numeric
@attribute QueryVariablesNb numeric
@attribute QueryDataSetSourcesNb numeric
@attribute QueryOperatorsNb numeric
@attribute QueryLiteralsNb numeric
@attribute QueryResultOrderingNb numeric
@attribute QueryResultLimitNb numeric
@attribute QueryResultOffsetNb numeric
@attribute QueryAllocatedMemoryBefore numeric
@attribute QueryUsedMemoryBefore numeric
@attribute QueryFreeMemoryBefore numeric
@attribute QueryUnallocatedMemoryBefore numeric
@attribute QueryErrorStatus {false,true}
@attribute QueryResultSizeInCharacters numeric
@attribute QueryTotalResponseTime numeric
@attribute QueryProcessTotalCPUTime numeric
@attribute QueryThreadTotalCPUTime numeric
@attribute QueryThreadUserCPUTime numeric
@attribute QueryThreadSystemCPUTime numeric
@attribute QueryThreadCount numeric
@attribute QueryThreadBlockCount numeric
@attribute QueryThreadBlockTime numeric
@attribute QueryThreadWaitCount numeric
@attribute QueryThreadWaitTime numeric
@attribute QueryThreadGccCount numeric
@attribute QueryThreadGccTime numeric
@attribute QueryAllocatedMemoryAfter numeric
@attribute QueryUsedMemoryAfter numeric
@attribute QueryFreeMemoryAfter numeric
@attribute QueryUnallocatedMemoryAfter numeric
@attribute QueryDataLayerInserts numeric
@attribute QueryDataLayerSelects numeric
@attribute QueryNumberOfExceptions numeric
@attribute QueryNumberOfOutOfMemoryExceptions numeric
@attribute QueryNumberOfMalformedSparqlQueryExceptions numeric
@attribute WorkflowTotalResponseTime numeric
@attribute WorkflowProcessTotalCPUTime numeric
@attribute WorkflowThreadTotalCPUTime numeric
@attribute WorkflowThreadUserCPUTime numeric
@attribute WorkflowThreadSystemCPUTime numeric
@attribute WorkflowThreadCount numeric
@attribute WorkflowThreadBlockCount numeric
@attribute WorkflowThreadBlockTime numeric
@attribute WorkflowThreadWaitCount numeric
@attribute WorkflowThreadWaitTime numeric
@attribute WorkflowThreadGccCount numeric
@attribute WorkflowThreadGccTime numeric
@attribute PlatformGccTime numeric
@attribute PlatformUnallocatedMemory numeric
@attribute PlatformAvgCPUUsage numeric
@attribute SystemTotalFreeMemory numeric
@attribute SystemWaitCPUTime numeric
@attribute SystemLoopbackNetworkSent numeric

@data
0ebe1097-4322-4534-8a8f-0a6845f419d3,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,52,0,3,0,0,0,0,0,0,321019904,208167064,112852840,996712448,false,4617,31,0,0,0,0,0,2,0,1,26,0,0,321019904,208988824,112031080,996712448,?,?,?,?,?,31,0,0,0,0,0,1,0,1,26,0,0,449,996712448,0.058359,2363308,0,0
bfccaba0-8276-48df-92f4-ebca6317cb2a,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,94,0,3,0,0,0,0,0,0,321019904,209962048,111057856,996712448,false,1989,0,0,0,0,0,0,2,0,1,1,0,0,321019904,210183560,110836344,996712448,?,?,?,?,?,0,0,0,0,0,0,1,0,1,1,0,0,449,996712448,0.058359,2363308,0,0
b14c4b90-c6c0-439f-a12f-87af2cfc0276,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,90,0,3,0,0,0,0,0,0,321019904,210935272,110084632,996712448,false,465134,375,93,31,31,0,0,1,0,1,348,1,9,321019904,151836800,169183104,996712448,?,?,?,?,?,344,62,0,0,0,0,1,0,1,348,1,9,0,996712448,0.058536,2363308,0,0
4ce161f4-8cb5-4ae8-88c8-1ce92c229bc3,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,58,0,3,0,0,0,0,0,0,321019904,152587120,168432784,996712448,false,155980,32,15,15,15,0,0,2,0,1,16,0,0,321019904,161642416,159377488,996712448,?,?,?,?,?,16,0,0,0,0,0,1,0,1,16,0,0,0,996712448,0.058536,2363308,0,0
9d7a56cd-5958-47ee-8501-5545acd77c93,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,54,0,3,0,0,0,0,0,0,321019904,162371504,158648400,996712448,false,504073,735,203,46,46,0,0,2,0,1,687,1,11,321019904,144707096,176312808,996712448,?,?,?,?,?,688,125,0,0,0,0,1,0,1,687,0,0,0,996712448,0.058536,2363308,0,0
384f3fce-cdd1-499f-8850-6c50ec917263,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,63,0,3,0,0,0,0,0,0,321019904,145470928,175548976,996712448,false,256959,47,15,15,15,0,0,3,0,1,24,0,0,321019904,157663432,163356472,996712448,?,?,?,?,?,31,0,0,0,0,0,1,0,1,24,0,0,0,996712448,0.058536,2363308,0,0
7f0b1c1a-531a-43f1-ac6d-2a8bada3d4c7,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,70,0,3,0,0,0,0,0,0,321019904,158460048,162559856,996712448,false,14411,0,0,0,0,0,0,2,0,1,3,0,0,321019904,159460144,161559760,996712448,?,?,?,?,?,0,0,0,0,0,0,1,0,1,3,0,0,0,996712448,0.058536,2363308,0,0
59078446-6c31-41ac-858c-2fa61d3c8e96,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,70,0,3,0,0,0,0,0,0,321019904,160256984,160762920,996712448,false,194085,328,15,0,0,0,0,3,0,1,317,0,0,321019904,172109984,148909920,996712448,?,?,?,?,?,328,15,0,0,0,0,1,0,1,317,0,0,0,996712448,0.058536,2363308,0,0
ceda5091-a415-4628-a9a7-65605ddc751b,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,85,0,3,0,0,0,0,0,0,321019904,173455136,147564768,996712448,false,22852,0,0,0,0,0,0,2,0,1,4,0,0,321019904,175347536,145672368,996712448,?,?,?,?,?,0,0,0,0,0,0,1,0,1,4,0,0,0,996712448,0.058536,2351096,0,0
8fe008aa-2c76-4348-af1b-ffa3ecefe7ef,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,68,0,3,0,0,0,0,0,0,321019904,176144152,144875752,996712448,false,508624,468,203,31,31,0,0,2,0,1,428,1,12,321019904,163338000,157681904,996712448,?,?,?,?,?,437,171,0,0,0,0,1,0,1,428,1,12,0,996712448,0.058536,2351096,0,0
